Model,Dataset,PCA,Scaling,MSE,MAE,R2
KNeighborsRegressor,Entire dataset,98,Standard Scaler,0.030563807202305115,0.12744916736550274,0.6010579217446196
KNeighborsRegressor,Entire dataset,False,Power Transform,0.030440207549664956,0.12807235388610563,0.6027901865140083
KNeighborsRegressor,Entire dataset,9,Power Transform,0.04236101131541083,0.15318915214540538,0.44723630915260404
KNeighborsRegressor,Entire dataset,11,Power Transform,0.03965655588354491,0.14723397678739172,0.48253289663476107
KNeighborsRegressor,Entire dataset,98,Power Transform,0.03152390734601729,0.1292760518556048,0.5887897693016507
KNeighborsRegressor,Entire dataset,False,Power Transform Standardized,0.029917981912220025,0.12621801558746487,0.6094176086217642
KNeighborsRegressor,Entire dataset,9,Power Transform Standardized,0.03929934692814655,0.14873705278099783,0.48716932841612354
KNeighborsRegressor,Entire dataset,11,Power Transform Standardized,0.037399086646712716,0.14385234083040216,0.5120194055565465
KNeighborsRegressor,Entire dataset,98,Power Transform Standardized,0.030210321043738247,0.12748514864448673,0.6055761510357758
Elastic Net,Entire dataset,False,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Entire dataset,9,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Entire dataset,11,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Entire dataset,98,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Entire dataset,False,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Entire dataset,9,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Entire dataset,11,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Entire dataset,98,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Entire dataset,False,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Entire dataset,9,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Entire dataset,11,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Entire dataset,98,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Entire dataset,False,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Entire dataset,9,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Entire dataset,11,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Entire dataset,98,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Entire dataset,False,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Entire dataset,9,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Entire dataset,11,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Entire dataset,98,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Entire dataset,False,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Entire dataset,9,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Entire dataset,11,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Entire dataset,98,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Ridge,Entire dataset,False,Standard Scaler,0.048966604943185436,0.1666645242993711,0.35967069417349373
Ridge,Entire dataset,9,Standard Scaler,0.0688350943204145,0.21460823681776686,0.10223380980772276
Ridge,Entire dataset,11,Standard Scaler,0.06698139464312766,0.21143796560934627,0.12645519670942318
Ridge,Entire dataset,98,Standard Scaler,0.04500687716799139,0.167133703856318,0.4122625298051149
Ridge,Entire dataset,False,Power Transform,0.048952591096280196,0.16690276088111197,0.35986102313051044
Ridge,Entire dataset,9,Power Transform,0.06919360405165802,0.2153777080500861,0.09743104233132538
Ridge,Entire dataset,11,Power Transform,0.06632979966337185,0.20935904775876582,0.1345515012715779
Ridge,Entire dataset,98,Power Transform,0.045223361480431226,0.1677778881272608,0.40952127627579565
Ridge,Entire dataset,False,Power Transform Standardized,0.04892629851484376,0.16676021001129931,0.36027940717064044
Ridge,Entire dataset,9,Power Transform Standardized,0.06530297793405296,0.20778702128172283,0.14828351815292268
Ridge,Entire dataset,11,Power Transform Standardized,0.064240447794447,0.20560245724681372,0.162073161713747
Ridge,Entire dataset,98,Power Transform Standardized,0.04504184502570895,0.16756927961327314,0.4119441507866418
Linear Regression,Best Features RF,False,Standard Scaler,0.0438795383263919,0.1655660466043422,0.42696091231570615
Linear Regression,Best Features RF,9,Standard Scaler,0.06991632403003128,0.2168185785580991,0.08821574590422872
Linear Regression,Best Features RF,11,Standard Scaler,0.06835899852084035,0.21339344924048728,0.10850941985412962
Linear Regression,Best Features RF,98,Standard Scaler,0.045400495974026886,0.1695977592284006,0.40703409269919694
Linear Regression,Best Features RF,False,Power Transform,0.04326154222519353,0.16414868672879038,0.4348072994200246
Linear Regression,Best Features RF,9,Power Transform,0.06974427201156716,0.21657287295323452,0.09010193679459584
Linear Regression,Best Features RF,11,Power Transform,0.06561860708225292,0.20764821191810628,0.14384607421283507
Linear Regression,Best Features RF,98,Power Transform,0.044603006102458945,0.16823818909961427,0.4173354198764757
Linear Regression,Best Features RF,False,Power Transform Standardized,0.04325468695668912,0.1641225032430792,0.4348998966634386
Linear Regression,Best Features RF,9,Power Transform Standardized,0.06876992747968799,0.21350980990019935,0.10313434454324436
Linear Regression,Best Features RF,11,Power Transform Standardized,0.06744680353470728,0.2112643743707073,0.12046591125630941
Linear Regression,Best Features RF,98,Power Transform Standardized,0.04485548552267656,0.16850070436270878,0.41409924761150707
Support Vector Machine,Best Features RF,False,Standard Scaler,0.03061836296633489,0.13305687112111408,0.5998508417925874
Support Vector Machine,Best Features RF,9,Standard Scaler,0.055927738075527256,0.18439187947705127,0.27007768851498415
Support Vector Machine,Best Features RF,11,Standard Scaler,0.05055271001041374,0.17465937586130093,0.34016417104700236
Support Vector Machine,Best Features RF,98,Standard Scaler,0.030994443679964734,0.13386858746755328,0.5948713773808759
Support Vector Machine,Best Features RF,False,Power Transform,0.0294358863480339,0.1301094362691082,0.6153638460867003
Support Vector Machine,Best Features RF,9,Power Transform,0.05240871388700315,0.1776557526891714,0.31586187990336706
Support Vector Machine,Best Features RF,11,Power Transform,0.04813881591733069,0.1699096999024348,0.37139869596539987
Support Vector Machine,Best Features RF,98,Power Transform,0.02964805055492594,0.13066176001678223,0.612552717881439
