Model,Dataset,PCA,Scaling,MSE,MAE,R2
Elastic Net,98% Zero Values Removed,98,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,98% Zero Values Removed,False,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,98% Zero Values Removed,9,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,98% Zero Values Removed,11,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,98% Zero Values Removed,98,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,98% Zero Values Removed,False,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,98% Zero Values Removed,9,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,98% Zero Values Removed,11,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,98% Zero Values Removed,98,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,98% Zero Values Removed,False,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,98% Zero Values Removed,9,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,98% Zero Values Removed,11,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,98% Zero Values Removed,98,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Ridge,98% Zero Values Removed,False,Standard Scaler,0.039802949015054614,0.1536729643442422,0.4801641246353963
Ridge,98% Zero Values Removed,9,Standard Scaler,0.06883326714451185,0.21455446853748983,0.10226125562691997
Ridge,98% Zero Values Removed,11,Standard Scaler,0.06708604651780888,0.21159159987189607,0.12509510022344075
Ridge,98% Zero Values Removed,98,Standard Scaler,0.045343815353592554,0.1675021545806147,0.4079048653088197
Ridge,98% Zero Values Removed,False,Power Transform,0.04000718155864881,0.1538134789545499,0.47746103841850507
Ridge,98% Zero Values Removed,9,Power Transform,0.06916040627090456,0.21529204712855074,0.09785678986763673
Ridge,98% Zero Values Removed,11,Power Transform,0.066080872299243,0.2088430589512639,0.13779208683371214
Ridge,98% Zero Values Removed,98,Power Transform,0.045392220788042524,0.16800081274218384,0.40721929706269977
Ridge,98% Zero Values Removed,False,Power Transform Standardized,0.03985105895782475,0.15373953431047155,0.479629567123522
Ridge,98% Zero Values Removed,9,Power Transform Standardized,0.06521054380533611,0.207563514697693,0.14946320438856261
Ridge,98% Zero Values Removed,11,Power Transform Standardized,0.06406692599019659,0.20508650916687327,0.16428121505608878
Ridge,98% Zero Values Removed,98,Power Transform Standardized,0.04552315266590038,0.16866107662573662,0.40550774128259287
Linear Regression,Small Variance Removed,False,Standard Scaler,0.05227008250522056,0.1714034698951275,0.31640557335294994
Linear Regression,Small Variance Removed,9,Standard Scaler,0.06883641589150041,0.21460886280380348,0.10221639530188979
Linear Regression,Small Variance Removed,11,Standard Scaler,0.06698159624081308,0.21143581707915007,0.12645107829400076
Linear Regression,Small Variance Removed,98,Standard Scaler,0.045169578600913106,0.16706787508962423,0.41022132828712765
Linear Regression,Small Variance Removed,False,Power Transform,0.05185260764282286,0.1708916202754141,0.32188512554628385
Linear Regression,Small Variance Removed,9,Power Transform,0.06919042362690192,0.21537129913095013,0.0974686796809406
Linear Regression,Small Variance Removed,11,Power Transform,0.0662999400015281,0.20930370538858295,0.13494125693604736
Linear Regression,Small Variance Removed,98,Power Transform,0.0451478343630791,0.16743659845585107,0.4104831651192254
Linear Regression,Small Variance Removed,False,Power Transform Standardized,0.051861121302915314,0.17091639188574798,0.321779166861909
Linear Regression,Small Variance Removed,9,Power Transform Standardized,0.0652992403491259,0.20776404728118486,0.14832713820133542
Linear Regression,Small Variance Removed,11,Power Transform Standardized,0.0642218970883002,0.20556365594936415,0.1623044290747624
Linear Regression,Small Variance Removed,98,Power Transform Standardized,0.04506339326988229,0.16734038465922868,0.41164829608768577
Support Vector Machine,Small Variance Removed,False,Standard Scaler,0.027237529871057896,0.12658316041036688,0.644177402739763
Support Vector Machine,Small Variance Removed,9,Standard Scaler,0.05201838169222769,0.17742607991048026,0.32120708057531927
Support Vector Machine,Small Variance Removed,11,Standard Scaler,0.04831019379330949,0.1704831671765496,0.36930262424519456
Support Vector Machine,Small Variance Removed,98,Standard Scaler,0.028287940151701864,0.12727498288928268,0.6305059226238588
Support Vector Machine,Small Variance Removed,False,Power Transform,0.027035657451516155,0.12664343672824813,0.6468249829475996
Support Vector Machine,Small Variance Removed,9,Power Transform,0.04957257846231149,0.17225597392195002,0.35281560686701346
Support Vector Machine,Small Variance Removed,11,Power Transform,0.04504947678766078,0.1629898320336704,0.4114954183461606
Support Vector Machine,Small Variance Removed,98,Power Transform,0.027913982997376886,0.1263861983277485,0.6354087939078217
Support Vector Machine,Small Variance Removed,False,Power Transform Standardized,0.027499497862968608,0.12683768162242814,0.6406998026644188
Support Vector Machine,Small Variance Removed,9,Power Transform Standardized,0.04483058655883797,0.16342246397745888,0.4144449087771325
Support Vector Machine,Small Variance Removed,11,Power Transform Standardized,0.0417693496657343,0.15713843375867875,0.45444555754238475
Support Vector Machine,Small Variance Removed,98,Power Transform Standardized,0.027429318108713917,0.12509632958888672,0.6417851104964922
AdaBoost,Small Variance Removed,False,Standard Scaler,0.06438770102819626,0.2093940839532462,0.1592673072926578
AdaBoost,Small Variance Removed,9,Standard Scaler,0.0671017869274445,0.21318303435411803,0.12431166112651656
AdaBoost,Small Variance Removed,11,Standard Scaler,0.06601237406329516,0.2113259013636347,0.13878602955887573
AdaBoost,Small Variance Removed,98,Standard Scaler,0.058743215689636176,0.1985941207545094,0.23307023318568043
AdaBoost,Small Variance Removed,False,Power Transform,0.06288650562202572,0.20725024655522928,0.1799212964839235
AdaBoost,Small Variance Removed,9,Power Transform,0.06826130427629702,0.21570448606779782,0.10923883412119784
AdaBoost,Small Variance Removed,11,Power Transform,0.0649528205759129,0.20935307189576466,0.15220888744769123
AdaBoost,Small Variance Removed,98,Power Transform,0.058521160161722374,0.19899576229105184,0.23585613440936762
AdaBoost,Small Variance Removed,False,Power Transform Standardized,0.06393427314451339,0.20837262397020764,0.1657990399225619
AdaBoost,Small Variance Removed,9,Power Transform Standardized,0.06395947626220773,0.20692526260536112,0.16521464038198336
AdaBoost,Small Variance Removed,11,Power Transform Standardized,0.0637907028004756,0.20685539068277947,0.16774973184056752
AdaBoost,Small Variance Removed,98,Power Transform Standardized,0.05907809613279158,0.1997497881648858,0.22893939713613304
Bagging,Small Variance Removed,False,Standard Scaler,0.03218344682335196,0.1339568749525358,0.5796399698538977
Bagging,Small Variance Removed,9,Standard Scaler,0.04499926416253354,0.16197409305052046,0.4123176176793383
Bagging,Small Variance Removed,11,Standard Scaler,0.04434639038331683,0.16196207438906768,0.4209125580766934
Bagging,Small Variance Removed,98,Standard Scaler,0.03858115423481997,0.1501405931680394,0.4959669698835617
Bagging,Small Variance Removed,False,Power Transform,0.03287186914178962,0.13532419268590706,0.5706918122243089
Bagging,Small Variance Removed,9,Power Transform,0.04643315732351888,0.1656460313392522,0.39357147026440187
Bagging,Small Variance Removed,11,Power Transform,0.04442464334094719,0.16100242620901695,0.420068808539937
Bagging,Small Variance Removed,98,Power Transform,0.03923671603896865,0.15242457704259715,0.48789185902826127
Bagging,Small Variance Removed,False,Power Transform Standardized,0.03220247818258026,0.13397698660394908,0.5793046223247875
Bagging,Small Variance Removed,9,Power Transform Standardized,0.04256415939638968,0.1586500444195547,0.44452254286308845
Bagging,Small Variance Removed,11,Power Transform Standardized,0.04228583066484583,0.15852088738451448,0.44817837102493147
Bagging,Small Variance Removed,98,Power Transform Standardized,0.03854496052925152,0.15089623114478562,0.4965547646926788
KNeighborsRegressor,Small Variance Removed,False,Standard Scaler,0.03015069507204337,0.12665634950730595,0.606168283759571
KNeighborsRegressor,Small Variance Removed,9,Standard Scaler,0.04109570676923,0.15040092605580177,0.46359544951875975
KNeighborsRegressor,Small Variance Removed,11,Standard Scaler,0.03975909581148533,0.14787390976934287,0.48133280692656494
KNeighborsRegressor,Small Variance Removed,98,Standard Scaler,0.030614173470175754,0.12782376321633063,0.6004064442158109
KNeighborsRegressor,Small Variance Removed,False,Power Transform,0.030530171655189724,0.1282988581273321,0.6015851598613824
KNeighborsRegressor,Small Variance Removed,9,Power Transform,0.04236035486560976,0.15335711174505148,0.44725035705277716
KNeighborsRegressor,Small Variance Removed,11,Power Transform,0.03965931412938974,0.1473117415212349,0.48249637202318735
KNeighborsRegressor,Small Variance Removed,98,Power Transform,0.031600576352224886,0.12964740104552291,0.5877221379457477
KNeighborsRegressor,Small Variance Removed,False,Power Transform Standardized,0.030104089273415423,0.12663848022749388,0.6068868589911485
KNeighborsRegressor,Small Variance Removed,9,Power Transform Standardized,0.039181621624674715,0.14858051138577308,0.4887086617171642
KNeighborsRegressor,Small Variance Removed,11,Power Transform Standardized,0.03735738886790664,0.14359417151063864,0.512609072997694
KNeighborsRegressor,Small Variance Removed,98,Power Transform Standardized,0.030009914808279737,0.12706009786360412,0.608292762542049
Elastic Net,Small Variance Removed,False,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Small Variance Removed,9,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Small Variance Removed,11,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Small Variance Removed,98,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Small Variance Removed,False,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Small Variance Removed,9,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Small Variance Removed,11,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Small Variance Removed,98,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Small Variance Removed,False,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Small Variance Removed,9,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Small Variance Removed,11,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Elastic Net,Small Variance Removed,98,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Small Variance Removed,False,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Small Variance Removed,9,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Small Variance Removed,11,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Small Variance Removed,98,Standard Scaler,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Small Variance Removed,False,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Small Variance Removed,9,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Small Variance Removed,11,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Small Variance Removed,98,Power Transform,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Small Variance Removed,False,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Small Variance Removed,9,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Small Variance Removed,11,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Lasso,Small Variance Removed,98,Power Transform Standardized,0.07672891284423027,0.22826589631246516,-0.0009587891364686296
Ridge,Small Variance Removed,False,Standard Scaler,0.04702069146878485,0.1634013669924344,0.38515209753198665
Ridge,Small Variance Removed,9,Standard Scaler,0.06883610017129282,0.21460993241795712,0.10222039555869207
Ridge,Small Variance Removed,11,Standard Scaler,0.06698283612179039,0.21143409574497146,0.12643615610439252
Ridge,Small Variance Removed,98,Standard Scaler,0.045182558072674565,0.1671045746074664,0.4099498609704666
Ridge,Small Variance Removed,False,Power Transform,0.04689973279817707,0.16343951146825975,0.38673515375962664
Ridge,Small Variance Removed,9,Power Transform,0.06919074086991779,0.2153711853369456,0.09746447671544763
Ridge,Small Variance Removed,11,Power Transform,0.06629495212790662,0.20929483104160473,0.13500521323878156
Ridge,Small Variance Removed,98,Power Transform,0.045015170030219,0.16713067945390608,0.4122321296786501
Ridge,Small Variance Removed,False,Power Transform Standardized,0.046998172110230704,0.16354846263024406,0.3854947404043863
Ridge,Small Variance Removed,9,Power Transform Standardized,0.06531162733441824,0.20778661507169996,0.1481644103205127
Ridge,Small Variance Removed,11,Power Transform Standardized,0.06424002474001375,0.20558811763909404,0.1620771979269129
Ridge,Small Variance Removed,98,Power Transform Standardized,0.04541160438895135,0.168138324915391,0.407077254375167
